"bibtex_key","author","title","year","explicit","separate","embedded","juxtaposed","interchangeable","abstraction","tree","node-attribute","overlay","node-link-diagram","multiples","hybrid","matrix","disjoint-hierarchical","disjoint-flat","overlapping-flat","overlapping-hierarchical"
"abello_ask-graphview_2006","Abello, James; van Ham, Frank; Krishnan, Neeraj","ASK}-{GraphView}: {A} {Large} {Scale} {Graph} {Visualization} {System","2006",1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"abello_matrix_2004","Abello, J.; van Ham, F.","Matrix {Zoom}: {A} {Visual} {Interface} to {Semi}-{External} {Graphs","2004",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"abello_modular_2014","Abello, James; Hadlak, Steffen; Schumann, Heidrun; Schulz, Hans-Jörg","A {Modular} {Degree}-of-{Interest} {Specification} for the {Visual} {Analysis} of {Large} {Dynamic} {Networks","2014",NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"abello_visualizing_2005","Abello, James; Kobourov, Stephen G.; Yusufov, Roman","Visualizing {Large} {Graphs} with {Compound}-{Fisheye} {Views} and {Treemaps","2005",1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"abuthawabeh_finding_2013","Abuthawabeh, Ala; Beck, Fabian; Zeckzer, Dirk; Diehl, Stephan","Finding structures in multi-type code couplings with node-link and matrix visualizations","2013",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"abuthawabeh_immv_2013","Abuthawabeh, Ala; Zeckzer, Dirk","IMMV}: {An} interactive multi-matrix visualization for program comprehension","2013",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"ahmed_visual_2010","Ahmed, Adel; Fu, Xiaoyan; Hong, Seok-Hee; Nguyen, Quan Hoang; Xu, Kai","Visual {Analysis} of {History} of {World} {Cup}: {A} {Dynamic} {Network} with {Dynamic} {Hierarchy} and {Geographic} {Clustering","2010",NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"ahmed_visualisation_2007","Ahmed, Adel; Batagelj, Vladimir; Fu, Xiaoyan; Hong, Seok-hee; Merrick, Damian; Mrvar, Andrej","Visualisation and analysis of the internet movie database","2007",NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
"al-awami_neurolines_2014","Al-Awami, Ali K.; Beyer, Johanna; Strobelt, Hendrik; Kasthuri, Narayanan; Lichtman, Jeff W.; Pfister, Hanspeter; Hadwiger, Markus","NeuroLines}: {A} {Subway} {Map} {Metaphor} for {Visualizing} {Nanoscale} {Neuronal} {Connectivity","2014",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"alper_design_2011","Alper, Basak; Riche, Nathalie; Ramos, Gonzalo; Czerwinski, Mary","Design {Study} of {LineSets}, a {Novel} {Set} {Visualization} {Technique","2011",NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA
"alper_weighted_2013","Alper, Basak; Bach, Benjamin; Henry Riche, Nathalie; Isenberg, Tobias; Fekete, Jean-Daniel","Weighted graph comparison techniques for brain connectivity analysis","2013",NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"altarawneh_clue_2014","AlTarawneh, Ragaad; Schultz, Johannes; Humayoun, Shah Rukh","CluE}: {An} {Algorithm} for {Expanding} {Clustered} {Graphs","2014",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"andrews_visual_2009","Andrews, Keith; Wohlfahrt, Martin; Wurzinger, Gerhard","Visual {Graph} {Comparison","2009",NA,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,2,NA
"angori_chordlink_2019","Angori, Lorenzo; Didimo, Walter; Montecchiani, Fabrizio; Pagliuca, Daniele; Tappini, Alessandra","ChordLink}: {A} {New} {Hybrid} {Visualization} {Model","2019",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA
"angori_hybrid_2022","Angori, Lorenzo; Didimo, Walter; Montecchiani, Fabrizio; Pagliuca, Daniele; Tappini, Alessandra","Hybrid {Graph} {Visualizations} {With} {ChordLink}: {Algorithms}, {Experiments}, and {Applications","2022",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA
"archambault_can_2016","Archambault, Daniel; Purchase, Helen C.","Can animation support the visualisation of dynamic graphs?","2016",NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA
"archambault_grouse_nodate","Archambault, Daniel; Munzner, Tamara; Auber, David","Grouse: {Feature}-{Based}, {Steerable} {Graph} {Hierarchy} {Exploration",NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
